x,y
5.001357834541709124e+00,7.823140204958652255e+00
-7.380843253858702102e-01,6.067715621021656958e+00
-6.774602191312004695e-01,7.984439435588017275e+00
4.877351695934992293e+00,7.316652768518775218e+00
5.189618458500950382e+00,6.656939582020259039e+00
4.325996757700052875e+00,7.442798945938655208e+00
-1.930959964182436872e+00,6.938489173807022681e+00
-1.331958486926727581e+00,7.313923118267233292e+00
-9.464422631150190002e-01,5.953580977290641840e+00
4.401010163733359626e+00,6.959722786425076357e+00
4.065251545397956967e+00,7.344292524778196274e+00
4.449808432465522934e+00,8.980385234358248425e+00
2.833863775943957997e+00,1.010612643779762720e+01
-1.758278168759160875e+00,4.729593264732979918e+00
4.754054748967956989e+00,7.787190267868499660e+00
-3.813745306937871504e+00,4.646719149478370170e+00
-1.974746445477026935e+00,5.706641155072712301e+00
4.931150099640992046e+00,9.600274795125869787e+00
1.784427402287884767e-01,6.377143879962323680e+00
-3.322028834525137420e+00,8.973217973844409556e+00
4.578031182264906462e+00,6.421119448275656616e+00
3.318805118212604377e+00,7.637964568859556991e+00
2.877537013851489966e+00,8.180108308144180995e+00
2.548272685387192205e+00,8.143913456675987206e+00
2.538787674922309279e-01,6.588310965263943331e+00
2.806849270291747800e+00,5.612752820676428556e+00
-2.545685010069862919e+00,5.986062027708017652e+00
-2.329609007051856917e+00,6.610773039881085111e+00
-4.117284297221059930e-01,7.873072720140649849e+00
-1.916763392759967877e+00,5.273409430926925268e+00
3.926433945645896539e+00,8.915065394254931164e+00
3.699650465938884913e+00,8.246904748876728419e+00
